SMILES,N,TTR binding activity,UNIT {TTR binding activity}
CCCCSP(=O)(SCCCC)SCCCC,1443,51.2,% 
CCCCOP(=O)(OCCCC)OCCCC,1444,1.5,% 
CCCCN(CCCC)CCCC,1445,38.5,% 
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1446,20.8,% 
OC(=O)C(Cl)(Cl)Cl,1447,-0.9,% 
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,1448,93.9,% 
OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,1450,106,% 
OCCN(CCO)CCO,1451,5.9,% 
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1455,14.7,% 
CCOP(=O)(OCC)OCC,1456,6.6,% 
OCCOCCOCCO,1457,6.3,% 
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,1458,7.4,% 
CC(=O)OCCOCCOCCOC(C)=O,1459,12.6,% 
CO\N=C(\C(=O)OC)C1=CC=CC=C1CO\N=C(/C)C1=CC(=CC=C1)C(F)(F)F,1461,65.4,% 
[Na+].COC1=CC(OC)=NC(NC(=O)[N-]S(=O)(=O)C2=NC=CC=C2OCC(F)(F)F)=N1,1462,30.5,% 
CCCOC\C(=N/C1=C(C=C(Cl)C=C1)C(F)(F)F)N1C=CN=C1,1463,94.9,% 
CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,1464,89.2,% 
CC(C)CCCCCCCOC(=O)C1=CC(C(=O)OCCCCCCCC(C)C)=C(C=C1)C(=O)OCCCCCCCC(C)C,1465,43,% 
CC(C)CCCCCCOC(=O)C1=CC(C(=O)OCCCCCCC(C)C)=C(C=C1)C(=O)OCCCCCCC(C)C,1466,3.2,% 
CO[Si](OC)(OC)C1=CC=CC=C1,1468,23.4,% 
CCC[Si](OC)(OC)OC,1469,13.5,% 
COP(=O)(OC)OC,1470,3.9,% 
CN(C)C,1471,1.6,% 
CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,1472,14.8,% 
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,1473,79.5,% 
O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,1474,26.9,% 
C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,1476,17.6,% 
CC(O)COC(C)COC(C)CO,1477,13.4,% 
COC(C)COC(C)COC(C)CO,1479,96.7,% 
ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,1480,-4.5,% 
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,1481,28.5,% 
ClCCOP(=O)(OCCCl)OCCCl,1482,-17.6,% 
ClCCOP(OCCCl)OCCCl,1483,6.1,% 
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,1484,14.5,% 
BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr,1487,21.4,% 
O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1,1488,6.3,% 
CC1=CC=CC=C1OP(=O)(OC1=CC=CC=C1C)OC1=CC=CC=C1C,1489,63.7,% 
CC1(C)CC\C(=C/C2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,1490,15.9,% 
CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C,1491,99,% 
COCC1=NN=C(N1C1=C(Cl)C(Cl)=CC2=C1NC(=O)C(=O)N2)C1=C[N+]([O-])=CC=C1,1493,-0.8,% 
CCCOC1=C(C=C(C=C1)S(=O)(=O)N1CCN(CC)CC1)C1=NC2=C(CC)N(CC3=CC=CC=N3)N=C2C(=O)N1,1494,18.8,% 
CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C,1495,15.4,% 
CCCCCCCCCCC,1496,4.9,% 
CCOC(N)=O,1498,26.9,% 
C=CN1CCCC1=O,1503,-17.6,% 
COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1,1504,-16.9,% 
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,1505,93.2,% 
C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,1508,28.1,% 
OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2,1509,59,% 
[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,1511,29.9,% 
